BRISK, 9.74953, 10.586, -80.8525, 11.7693, 89.8332, 13.5599, 31.7956, 12.6385, nan, -inf, 11.2142, 12.245, 568.322, 5.6061, -13.6263, 6.33866, 11.8634, -inf, 
ORB, 9.74953, 18.2178, -80.8525, 11.7693, 13.6432, 13.5907, 14.4636, 13.5704, nan, nan, 11.2142, 11.9536, 13.4095, 5.85828, -23.0437, 6.71705, 11.7964, -inf, 
FREAK, 9.74953, 10.586, nan, nan, 39.584, 13.9039, 11.7285, 11.4949, nan, 20.5862, 23.627, 11.9536, nan, nan, -25.2781, 6.87135, 11.1009, 25.6763, 
BRIEF, 8.81335, 10.586, -10.295, 13.2718, 13.9039, 12.7815, 13.5704, 3.30058, 20.5862, 11.7414, nan, 13.4327, 5.6061, -13.6263, 6.68702, 12.5848, -inf, 
SIFT, 9.74953, 52.7952, -inf, 11.7693, 13.3206, 15.5268, 14.2744, 13.5704, 3.30058, 20.5862, 11.7414, 11.8228, 284.161, 5.66097, -13.6263, 6.92571, 11.8634, -inf, 
lidar, 12.5156, 12.5141, 14.2179, 16.6894, 15.7465, 12.6778, 12.0788, 13.1241, 13.0241, 11.1746, 12.8086, 8.95978, 9.96439, 9.59863, 8.57352, 9.45164, 9.61241, 8.3988, 
