BRISK, 17.7698, 18.4363, 12.3871, 19.9631, 90.4888, 10.4279, 13.1649, 10.8795, -inf, 19.7645, 7.80056, -inf, 13.5775, 11.6145, 10.4271, 26.1823, 
ORB, 14.1904, 10.126, 20.869, 30.6455, 32.0673, -inf, -inf, 32.6652, 30.3659, -inf, 9.2983, -inf, 11.6437, 13.2116, 15.8113, 42.9951, 
FREAK, 12.0569, 12.843, 10.7796, 11.2797, -inf, 18.141, -inf, 8.85642, 18.3901, -inf, 6.24993, 14.9136, 7.27752, 36.8252, 8.7674, 5.48789, 
BRIEF, 15.2284, 27.9964, 20.3653, 25.5378, 9.79772, 36.8543, -inf, 5.07592e+06, 10.1551, 20.2017, 14.3224, 22.7735, 13.9569, 10.4572, 10.0455, 
SIFT, 15.0609, 12.1685, 13.2645, -inf, 3877.08, 20.8076, -inf, 10.0581, 13.884, 18.0651, 9.42784, -inf, 9.08272, 13.5239, 8.82054, 20.1371, 
lidar, 12.5156, 12.5141, 14.2179, 16.6894, 15.7465, 12.6778, 12.0788, 13.1241, 13.0241, 11.1746, 12.8086, 8.95978, 9.96439, 9.59863, 9.45164, 8.3988, 
